2025-11-16 13:12:05, MOVE, v:1, k:poo@lapiseira, mode:PICK
2025-11-16 13:12:07, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:62
2025-11-16 13:18:08, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:66
2025-11-16 13:23:39, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:28:05, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:76
2025-11-16 13:28:40, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:29:44, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:30:23, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:30:40, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:30:49, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:72
2025-11-16 13:31:57, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:72
2025-11-16 13:32:20, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:72
2025-11-16 13:32:28, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:72
2025-11-16 13:37:48, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:76
2025-11-16 13:39:44, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:79
2025-11-16 13:46:09, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:90
2025-11-16 13:48:38, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:14, size:90
2025-11-16 13:49:40, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:21, size:94
2025-11-16 13:51:50, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:98
2025-11-16 13:52:45, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:97
2025-11-16 13:53:39, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:21, size:94
2025-11-16 13:55:04, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:94
2025-11-16 13:55:21, MOVE, v:1, k:poo@lapiseira, mode:PICK
2025-11-16 13:55:22, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:21, size:94
2025-11-16 13:55:37, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:94
2025-11-16 13:55:44, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:21, size:94
2025-11-16 13:56:46, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:28, size:94
2025-11-16 13:57:37, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:94
2025-11-16 14:01:19, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:99
2025-11-16 14:01:40, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:97
2025-11-16 14:03:18, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:98
2025-11-16 14:04:00, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:97
2025-11-16 14:04:17, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:96
2025-11-16 14:09:31, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:104
2025-11-16 14:10:03, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:42, size:102
2025-11-16 14:10:32, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:104
2025-11-16 14:10:41, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:104
2025-11-16 14:10:52, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:42, size:102
2025-11-16 14:12:23, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:104
2025-11-16 14:14:04, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:105
2025-11-16 14:14:13, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:104
2025-11-16 14:14:19, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:105
2025-11-16 14:14:38, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:105
2025-11-16 14:16:36, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:92
2025-11-16 14:18:17, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:94
2025-11-16 14:18:26, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:7, size:105
2025-11-16 14:18:48, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:35, size:105
2025-11-16 14:19:14, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:42, size:103
2025-11-16 14:19:59, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:0, size:104
2025-11-16 14:20:05, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:42, size:104
2025-11-16 14:22:47, EXEC, v:1, k:poo@lapiseira, mode:FULL, rate:42, size:103
2025-11-16 14:22:50, MOVE, v:1, k:poo@lapiseira, mode:BACK
